championName,championId,Win,Lose,vs아트록스(승),vs아트록스(패),vs아리(승),vs아리(패),vs아칼리(승),vs아칼리(패),vs아크샨(승),vs아크샨(패),vs알리스타(승),vs알리스타(패),vs아무무(승),vs아무무(패),vs애니비아(승),vs애니비아(패),vs애니(승),vs애니(패),vs아펠리오스(승),vs아펠리오스(패),vs애쉬(승),vs애쉬(패),vs아우렐리온 솔(승),vs아우렐리온 솔(패),vs아지르(승),vs아지르(패),vs바드(승),vs바드(패),vs벨베스(승),vs벨베스(패),vs블리츠크랭크(승),vs블리츠크랭크(패),vs브랜드(승),vs브랜드(패),vs브라움(승),vs브라움(패),vs케이틀린(승),vs케이틀린(패),vs카밀(승),vs카밀(패),vs카시오페아(승),vs카시오페아(패),vs초가스(승),vs초가스(패),vs코르키(승),vs코르키(패),vs다리우스(승),vs다리우스(패),vs다이애나(승),vs다이애나(패),vs드레이븐(승),vs드레이븐(패),vs문도 박사(승),vs문도 박사(패),vs에코(승),vs에코(패),vs엘리스(승),vs엘리스(패),vs이블린(승),vs이블린(패),vs이즈리얼(승),vs이즈리얼(패),vs피들스틱(승),vs피들스틱(패),vs피오라(승),vs피오라(패),vs피즈(승),vs피즈(패),vs갈리오(승),vs갈리오(패),vs갱플랭크(승),vs갱플랭크(패),vs가렌(승),vs가렌(패),vs나르(승),vs나르(패),vs그라가스(승),vs그라가스(패),vs그레이브즈(승),vs그레이브즈(패),vs그웬(승),vs그웬(패),vs헤카림(승),vs헤카림(패),vs하이머딩거(승),vs하이머딩거(패),vs일라오이(승),vs일라오이(패),vs이렐리아(승),vs이렐리아(패),vs아이번(승),vs아이번(패),vs잔나(승),vs잔나(패),vs자르반 4세(승),vs자르반 4세(패),vs잭스(승),vs잭스(패),vs제이스(승),vs제이스(패),vs진(승),vs진(패),vs징크스(승),vs징크스(패),vs카이사(승),vs카이사(패),vs칼리스타(승),vs칼리스타(패),vs카르마(승),vs카르마(패),vs카서스(승),vs카서스(패),vs카사딘(승),vs카사딘(패),vs카타리나(승),vs카타리나(패),vs케일(승),vs케일(패),vs케인(승),vs케인(패),vs케넨(승),vs케넨(패),vs카직스(승),vs카직스(패),vs킨드레드(승),vs킨드레드(패),vs클레드(승),vs클레드(패),vs코그모(승),vs코그모(패),vs르블랑(승),vs르블랑(패),vs리 신(승),vs리 신(패),vs레오나(승),vs레오나(패),vs릴리아(승),vs릴리아(패),vs리산드라(승),vs리산드라(패),vs루시안(승),vs루시안(패),vs룰루(승),vs룰루(패),vs럭스(승),vs럭스(패),vs말파이트(승),vs말파이트(패),vs말자하(승),vs말자하(패),vs마오카이(승),vs마오카이(패),vs마스터 이(승),vs마스터 이(패),vs미스포츈(승),vs미스포츈(패),vs오공(승),vs오공(패),vs모데카이저(승),vs모데카이저(패),vs모르가나(승),vs모르가나(패),vs나미(승),vs나미(패),vs나서스(승),vs나서스(패),vs노틸러스(승),vs노틸러스(패),vs니코(승),vs니코(패),vs니달리(승),vs니달리(패),vs닐라(승),vs닐라(패),vs녹턴(승),vs녹턴(패),vs누누와 윌럼프(승),vs누누와 윌럼프(패),vs올라프(승),vs올라프(패),vs오리아나(승),vs오리아나(패),vs오른(승),vs오른(패),vs판테온(승),vs판테온(패),vs뽀삐(승),vs뽀삐(패),vs파이크(승),vs파이크(패),vs키아나(승),vs키아나(패),vs퀸(승),vs퀸(패),vs라칸(승),vs라칸(패),vs람머스(승),vs람머스(패),vs렉사이(승),vs렉사이(패),vs렐(승),vs렐(패),vs레타나 글라스크(승),vs레타나 글라스크(패),vs레넥톤(승),vs레넥톤(패),vs렝가(승),vs렝가(패),vs리븐(승),vs리븐(패),vs럼블(승),vs럼블(패),vs라이즈(승),vs라이즈(패),vs사미라(승),vs사미라(패),vs세주아니(승),vs세주아니(패),vs세나(승),vs세나(패),vs세라핀(승),vs세라핀(패),vs세트(승),vs세트(패),vs샤코(승),vs샤코(패),vs쉔(승),vs쉔(패),vs쉬바나(승),vs쉬바나(패),vs신지드(승),vs신지드(패),vs사이온(승),vs사이온(패),vs시비르(승),vs시비르(패),vs스카너(승),vs스카너(패),vs소나(승),vs소나(패),vs소라카(승),vs소라카(패),vs스웨인(승),vs스웨인(패),vs사일러스(승),vs사일러스(패),vs신드라(승),vs신드라(패),vs탐 켄치(승),vs탐 켄치(패),vs탈리야(승),vs탈리야(패),vs탈론(승),vs탈론(패),vs타릭(승),vs타릭(패),vs티모(승),vs티모(패),vs쓰레쉬(승),vs쓰레쉬(패),vs트리스타나(승),vs트리스타나(패),vs트런들(승),vs트런들(패),vs트린다미어(승),vs트린다미어(패),vs트위스티드 페이트(승),vs트위스티드 페이트(패),vs트위치(승),vs트위치(패),vs우디르(승),vs우디르(패),vs우르곳(승),vs우르곳(패),vs바루스(승),vs바루스(패),vs베인(승),vs베인(패),vs베이가(승),vs베이가(패),vs벨코즈(승),vs벨코즈(패),vs벡스(승),vs벡스(패),vs바이(승),vs바이(패),vs비에고(승),vs비에고(패),vs빅토르(승),vs빅토르(패),vs블라디미르(승),vs블라디미르(패),vs볼리베어(승),vs볼리베어(패),vs워윅(승),vs워윅(패),vs자야(승),vs자야(패),vs제라스(승),vs제라스(패),vs신 짜오(승),vs신 짜오(패),vs야스오(승),vs야스오(패),vs요네(승),vs요네(패),vs요릭(승),vs요릭(패),vs유미(승),vs유미(패),vs자크(승),vs자크(패),vs제드(승),vs제드(패),vs제리(승),vs제리(패),vs직스(승),vs직스(패),vs질리언(승),vs질리언(패),vs조이(승),vs조이(패),vs자이라(승),vs자이라(패)
엘리스,60,125,118,12,18,3,0,11,12,1,1,1,5,7,9,0,1,0,0,7,11,9,7,0,0,4,7,4,4,6,3,3,9,1,0,4,2,10,10,9,2,3,3,1,0,0,0,3,1,3,3,4,5,0,2,1,5,-1,-1,0,0,11,6,2,3,7,5,0,1,11,5,4,3,0,0,3,4,8,7,15,14,0,1,18,9,2,2,0,0,11,4,0,0,2,0,2,1,6,9,2,1,4,8,2,5,20,18,6,7,3,4,1,4,2,1,8,3,0,1,1,1,5,3,0,3,11,10,5,0,0,1,4,2,13,13,3,5,0,2,0,0,1,4,8,11,3,1,3,3,0,0,13,11,1,0,13,6,0,0,1,1,2,3,0,0,0,0,13,13,0,1,13,9,4,3,1,1,2,2,3,5,3,2,4,6,1,0,3,2,6,2,8,4,0,3,6,4,2,0,4,3,4,5,4,2,12,11,3,1,1,2,6,7,1,5,9,7,5,5,4,1,0,0,9,10,3,3,2,2,1,0,0,2,1,1,7,4,0,0,0,1,0,2,1,1,15,8,4,1,1,3,9,15,1,5,3,2,0,0,9,14,8,6,2,0,1,1,2,1,2,1,3,1,0,0,4,10,0,2,3,2,0,0,4,6,1,3,5,7,8,5,5,3,0,0,2,0,5,4,1,0,1,0,4,5,7,8,0,0,11,4,3,2,2,6,0,0,0,0,1,0,5,7,3,0
이블린,28,16,9,3,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,-1,-1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0
이즈리얼,81,431,488,56,75,1,6,28,30,16,14,15,17,30,35,3,4,0,0,32,22,21,15,1,0,14,17,18,13,15,15,20,21,5,9,2,6,47,46,20,32,12,9,1,3,1,1,7,7,11,20,19,17,3,4,13,13,6,11,0,2,-1,-1,3,6,7,22,6,7,17,30,18,18,6,3,16,13,22,22,60,73,5,2,12,28,13,10,2,5,31,29,3,3,5,5,5,4,20,22,5,8,31,28,8,13,103,134,18,30,25,29,15,12,2,7,15,10,2,3,7,4,22,13,7,6,27,37,2,3,0,1,9,11,46,58,14,19,9,1,4,2,11,9,29,23,8,10,0,5,3,2,44,40,6,5,32,34,1,0,3,5,6,9,2,3,4,1,50,64,4,1,49,44,4,9,1,1,6,8,7,9,6,7,12,20,7,11,13,8,33,30,14,15,2,7,17,15,7,5,5,16,22,32,14,26,21,27,9,13,3,11,21,30,7,9,22,26,22,30,4,5,2,3,30,31,8,7,9,12,2,0,7,9,6,4,12,20,0,2,2,0,5,8,3,6,38,54,17,18,2,4,33,41,13,16,6,8,1,3,31,31,19,24,5,5,12,4,9,2,4,3,7,8,2,2,29,31,8,3,6,2,4,1,17,21,15,15,30,31,28,32,10,15,2,0,2,3,8,8,5,4,4,1,22,18,33,28,1,1,16,21,10,13,17,9,5,1,1,5,1,4,24,26,2,2
피들스틱,9,86,87,8,11,1,2,9,5,2,3,3,4,8,10,0,0,0,0,5,6,3,7,0,0,4,4,5,5,4,2,3,4,1,1,3,4,11,7,5,2,1,3,2,0,0,0,2,0,2,4,2,6,0,0,1,1,3,2,0,0,6,3,-1,-1,3,4,0,0,3,6,4,6,1,0,4,3,3,4,13,11,3,0,3,6,1,1,0,1,4,5,1,0,0,2,0,0,2,5,0,5,2,3,1,2,18,22,7,3,5,0,1,5,0,2,4,2,1,0,4,2,1,2,1,1,3,6,0,0,0,0,1,2,10,16,0,2,0,0,0,0,1,1,1,4,1,2,0,0,1,0,4,6,2,0,5,11,0,0,2,1,0,0,0,0,1,0,7,6,0,3,11,7,3,0,1,1,0,1,3,1,2,2,2,4,1,1,1,2,4,3,5,1,0,2,7,6,0,0,1,0,9,7,2,3,7,6,1,3,1,0,7,1,0,0,6,3,6,4,0,2,1,1,7,8,1,1,1,2,1,0,3,1,3,2,1,1,0,0,0,0,2,2,0,1,11,10,3,3,0,0,6,6,1,4,5,1,0,1,3,9,4,3,1,2,3,0,3,0,0,1,0,0,0,1,6,7,1,1,0,0,2,1,3,2,2,4,4,2,5,4,4,5,2,1,0,0,2,0,0,0,0,1,4,2,8,7,0,1,6,4,4,1,1,1,1,0,0,1,2,1,8,10,2,0
피오라,114,239,264,75,94,4,1,19,22,6,5,9,8,23,17,0,2,0,0,14,20,12,8,0,0,8,10,8,10,7,10,10,9,3,1,2,5,10,25,10,12,4,3,2,2,0,1,5,5,3,4,9,16,2,3,6,10,5,7,0,0,22,7,4,3,-1,-1,0,1,15,15,12,6,1,0,5,3,13,11,33,39,0,2,9,19,4,4,0,1,18,11,1,0,1,3,0,2,12,19,7,5,12,14,3,10,37,49,25,20,12,10,8,10,1,0,12,10,0,1,1,3,12,9,5,3,14,23,0,1,0,2,2,10,25,29,6,11,7,3,2,0,5,3,11,13,7,5,2,3,0,0,26,28,2,2,18,18,1,3,0,0,0,6,1,0,1,2,31,28,1,1,29,23,5,8,0,3,9,5,4,5,2,3,7,6,3,3,2,10,11,17,5,8,1,0,7,9,1,1,5,3,9,17,12,13,11,8,7,10,2,2,10,11,2,4,17,16,17,13,2,4,2,1,16,18,3,3,6,2,0,0,2,2,1,0,5,8,0,1,1,0,3,3,3,1,23,28,14,12,3,4,17,18,10,7,8,4,1,1,13,24,11,14,3,1,3,6,7,4,4,3,2,2,0,0,15,11,5,1,3,3,0,1,5,13,12,7,12,17,15,20,6,8,0,2,1,1,2,2,1,2,0,1,11,11,23,16,0,1,10,15,6,0,8,7,2,1,0,2,0,0,13,16,1,2
피즈,105,41,36,9,5,0,1,6,4,0,0,3,3,5,2,0,0,0,0,2,1,0,1,0,0,1,1,1,0,4,3,1,2,1,0,2,1,4,3,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,7,6,0,0,1,0,-1,-1,1,4,2,1,0,0,1,2,1,2,6,2,1,0,1,3,0,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,4,6,4,4,2,3,3,1,0,1,3,1,0,0,0,0,2,1,0,1,2,4,1,0,0,0,1,1,6,8,1,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,5,4,0,0,4,5,0,1,0,0,0,0,0,0,0,1,3,3,0,0,4,4,1,1,0,0,1,0,0,3,0,1,1,2,1,0,1,2,6,2,1,1,2,0,1,2,0,1,0,0,0,1,1,3,3,3,1,0,0,0,3,5,0,0,1,4,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,0,0,6,5,3,3,1,0,3,1,1,0,0,1,0,1,4,3,1,3,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,2,4,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,1,2,3,0,2,1,0,0,1,0,0,0,2,1,1,0
갈리오,3,292,274,36,40,6,4,22,13,12,3,13,12,25,18,1,3,0,0,26,12,20,12,0,0,16,9,13,5,14,5,18,15,2,3,7,3,22,24,15,7,8,4,1,2,1,3,5,2,7,7,9,4,0,1,7,8,5,11,0,1,30,17,6,3,15,15,4,1,-1,-1,7,15,3,0,9,8,15,16,33,37,5,4,17,12,7,7,1,1,14,19,0,2,3,1,3,0,15,16,5,1,11,16,9,5,52,58,23,15,15,12,12,8,0,2,8,3,1,1,3,5,13,13,6,4,16,21,4,6,0,0,5,3,37,30,9,8,7,2,1,1,5,6,14,19,11,12,3,0,0,1,26,26,4,5,16,14,5,3,3,2,2,6,0,1,2,0,27,24,2,0,22,24,3,6,0,1,10,6,5,4,4,1,10,15,5,5,10,7,13,17,9,8,4,5,20,14,4,3,10,8,7,17,6,8,21,15,11,8,4,3,18,14,3,1,19,14,14,12,3,4,2,4,21,24,8,3,8,4,0,0,2,3,2,4,10,9,1,0,0,0,1,2,4,4,35,29,10,16,4,3,16,22,4,12,6,0,1,0,20,25,12,15,5,2,3,5,9,6,2,3,4,4,4,1,14,28,3,7,1,0,0,2,8,19,6,5,14,17,23,32,9,6,0,1,1,0,4,4,7,2,4,1,11,10,20,21,1,2,12,7,7,5,9,11,3,5,2,4,2,0,15,22,0,1
갱플랭크,41,244,222,24,24,3,3,16,20,12,7,6,14,19,15,2,2,0,0,22,14,13,9,0,0,12,5,7,8,8,4,9,8,0,1,3,3,19,21,14,6,4,8,3,2,0,0,4,2,7,6,7,8,4,1,4,7,3,4,0,0,18,18,6,4,6,12,1,2,15,7,-1,-1,3,1,11,7,19,7,33,28,3,5,13,14,5,3,2,0,10,17,1,0,1,1,3,4,10,7,1,4,9,11,9,6,41,44,8,10,22,12,10,10,1,2,3,5,0,0,1,2,6,6,2,4,12,20,1,5,0,0,6,8,40,30,7,9,5,4,1,3,6,4,16,17,9,7,2,1,0,0,19,24,3,3,19,15,1,1,0,2,2,0,0,1,3,2,28,18,1,1,23,21,3,4,1,1,5,2,6,5,4,6,7,10,2,2,3,2,18,10,10,6,2,1,18,14,5,1,9,4,8,12,4,4,23,16,11,5,3,6,19,7,4,5,19,15,11,17,1,3,0,2,15,19,3,5,6,5,1,1,5,3,6,4,10,3,0,0,0,0,6,0,0,3,22,27,15,10,2,1,14,10,4,6,8,4,2,2,16,17,12,17,2,1,5,5,10,4,3,1,4,0,2,0,14,18,3,1,0,0,1,3,8,7,10,7,11,16,17,16,11,15,2,0,0,2,3,2,2,0,0,0,7,9,20,21,0,1,10,7,8,4,5,7,2,3,0,1,2,1,11,7,2,3
가렌,86,28,41,5,9,0,0,3,2,0,1,1,1,4,1,0,0,0,0,3,1,0,1,0,0,0,3,2,3,2,2,2,1,0,0,0,3,0,5,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,6,0,1,0,1,0,0,0,3,1,3,-1,-1,2,2,2,2,4,6,0,0,2,3,0,0,1,1,1,1,0,0,0,1,0,0,1,4,1,1,0,0,1,3,7,11,2,2,2,1,1,1,0,0,1,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,0,0,4,6,1,2,1,2,0,0,1,1,0,1,0,1,0,0,0,0,0,4,0,0,4,2,0,0,0,2,0,2,0,0,0,0,1,3,1,0,1,4,1,1,0,0,2,1,0,1,0,0,0,1,0,2,3,0,3,3,2,0,0,0,2,3,0,0,1,1,1,1,1,2,1,1,1,1,1,0,2,3,0,0,2,2,1,1,0,0,0,1,2,2,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,1,5,2,0,1,0,0,3,5,1,1,0,0,0,1,3,5,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,2,3,0,0,0,1,0,0,1,1,1,1,2,3,4,0,3,0,0,0,1,0,2,0,0,0,1,3,3,1,1,0,0,3,2,0,2,1,2,0,0,0,0,0,0,5,3,0,0
나르,150,141,171,24,42,2,1,7,15,4,5,2,6,13,10,3,0,0,0,13,12,6,9,0,0,3,12,3,8,5,6,2,15,2,1,4,5,8,20,5,3,2,3,1,1,0,1,5,3,4,3,3,3,2,3,3,4,4,3,1,0,13,16,3,4,3,5,2,1,8,9,7,11,2,2,-1,-1,6,11,14,30,0,0,11,9,3,3,2,1,10,11,0,0,0,0,0,2,4,6,2,2,11,7,6,5,22,28,8,7,8,10,8,4,1,1,4,4,0,0,0,1,4,1,3,1,6,12,3,0,0,0,1,4,14,21,8,15,2,2,0,2,2,1,5,5,1,4,0,1,0,0,16,11,1,1,6,13,0,1,0,0,1,0,0,0,1,0,15,13,1,3,14,14,2,1,1,2,2,3,5,3,2,3,5,4,5,1,7,3,12,11,4,2,0,2,6,4,2,1,9,2,3,11,4,8,11,12,1,3,0,1,7,7,2,4,9,11,7,11,2,1,0,2,12,19,1,2,3,7,0,2,0,1,0,0,2,4,0,0,0,0,3,2,1,1,28,23,7,7,2,3,12,11,3,8,3,3,1,1,10,11,5,8,0,0,0,0,0,2,2,4,1,2,0,0,16,13,3,2,1,1,0,1,4,3,5,3,14,15,5,6,8,8,1,2,0,1,2,5,2,2,1,1,4,5,14,10,1,0,4,4,4,7,6,5,2,1,1,1,2,0,8,16,0,0
그라가스,79,268,262,36,31,3,3,21,25,4,6,16,15,15,16,0,2,0,0,19,18,15,15,0,0,7,4,12,9,11,13,9,10,0,4,7,9,22,18,9,13,1,4,1,2,0,1,8,5,8,3,7,7,2,1,7,8,7,8,0,1,22,22,4,3,11,13,2,1,16,15,7,19,2,2,11,6,-1,-1,38,40,4,3,17,14,10,4,1,1,13,17,1,0,1,3,5,1,27,23,2,5,10,8,6,8,48,54,7,11,14,8,15,6,0,3,5,6,1,0,4,4,9,10,3,1,19,17,3,2,0,0,9,9,21,26,8,6,2,3,0,0,4,1,14,11,6,4,0,1,1,1,34,33,2,2,24,21,2,2,1,2,3,4,1,0,2,0,22,35,1,2,15,28,1,3,1,2,1,6,5,4,2,1,6,10,10,4,9,10,19,13,7,5,2,4,10,6,3,1,8,3,16,24,8,10,15,17,10,1,6,5,18,14,1,2,20,18,16,19,4,2,3,5,16,15,4,5,8,4,0,1,3,1,3,0,7,7,0,0,1,0,5,6,0,3,39,28,16,13,1,2,14,21,13,9,3,8,1,1,24,16,13,14,1,1,5,6,4,3,3,1,7,3,1,1,16,14,5,3,1,0,0,0,10,16,10,9,19,24,18,26,10,4,0,0,0,1,4,6,5,4,2,2,11,9,22,18,1,1,7,8,6,9,11,6,5,1,0,1,0,1,26,16,1,1
그레이브즈,104,771,736,106,130,13,8,58,45,33,20,29,23,63,58,2,3,0,0,72,52,37,35,0,0,27,22,18,18,37,28,33,33,6,7,15,13,69,56,44,38,13,14,2,3,1,0,13,11,18,14,26,28,4,5,27,20,14,15,0,3,73,60,11,13,39,33,2,6,37,33,28,33,6,4,30,14,40,38,-1,-1,7,5,47,46,17,9,2,5,44,48,7,4,6,2,10,1,45,27,10,18,27,34,24,31,134,162,51,37,48,45,28,23,5,1,18,15,3,1,7,9,26,20,14,22,90,81,3,10,3,3,14,15,101,103,33,38,11,9,6,5,12,7,49,37,17,14,1,3,1,2,67,67,7,10,51,54,6,5,6,2,8,5,2,4,3,2,72,79,1,4,95,117,12,15,3,5,16,12,20,13,12,6,23,23,9,13,10,16,38,30,17,27,12,11,44,30,8,7,19,12,22,39,27,24,61,54,28,16,11,13,37,30,11,7,43,40,39,33,10,5,8,5,51,58,2,1,14,16,0,1,5,4,6,7,25,21,2,1,3,0,10,14,5,8,73,89,41,43,6,3,71,62,26,22,15,17,1,0,66,68,33,30,8,3,12,18,12,9,8,7,13,9,4,4,44,53,16,7,7,1,7,2,20,31,26,14,55,62,61,62,23,26,0,1,3,2,9,11,6,5,8,8,29,25,65,66,3,4,28,30,19,14,24,17,4,3,2,4,5,5,53,45,1,4
그웬,887,36,57,5,7,2,1,1,1,1,0,2,1,2,4,0,1,0,0,2,2,0,2,0,0,3,0,1,2,2,0,3,2,0,2,1,2,4,1,2,3,0,1,0,0,0,0,0,1,1,0,3,1,0,2,0,2,1,0,0,0,2,5,0,3,2,0,0,1,4,5,5,3,0,0,0,0,3,4,5,7,-1,-1,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,4,0,2,3,2,2,2,4,10,2,4,3,1,1,7,0,0,1,0,0,0,0,1,1,3,1,2,1,3,0,0,0,0,1,1,4,7,2,5,0,2,1,0,0,1,3,3,1,1,0,0,1,0,5,11,0,0,1,6,0,0,0,0,0,0,1,1,1,0,5,4,0,1,7,4,2,2,0,1,0,1,0,0,1,2,1,3,1,2,1,1,2,1,0,1,1,2,0,2,1,1,1,1,1,6,2,2,3,4,2,2,0,0,0,0,0,0,1,5,2,4,0,0,0,0,1,6,0,1,3,0,0,0,0,1,1,3,2,0,0,0,0,0,0,2,0,0,4,8,1,2,0,0,1,6,0,2,0,1,0,0,2,3,3,3,0,0,1,3,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,2,5,4,1,3,6,0,1,3,2,0,0,0,0,0,3,0,0,0,0,1,1,3,3,0,0,1,5,0,3,1,0,0,1,0,0,0,0,4,6,0,0
헤카림,120,322,320,53,54,2,5,29,21,17,10,8,5,26,25,3,1,0,0,27,10,7,11,0,0,5,13,16,9,9,9,10,16,3,2,6,7,32,19,19,11,4,7,4,1,0,0,6,8,16,7,11,14,0,3,4,7,9,18,0,1,28,12,6,3,19,9,3,1,12,17,14,13,3,2,9,11,14,17,46,47,2,1,-1,-1,10,4,2,6,16,21,3,0,2,2,6,2,13,17,4,6,7,10,7,7,63,80,18,20,12,7,16,15,2,0,5,7,0,0,2,4,14,6,5,5,18,32,3,7,1,0,7,10,36,27,13,28,8,5,1,1,2,3,12,18,11,8,0,2,1,1,29,27,5,3,26,31,0,2,1,2,5,2,0,0,2,1,36,32,3,1,29,20,7,8,2,2,8,10,1,4,1,2,12,13,9,6,7,6,25,16,10,7,1,4,13,16,3,3,5,4,11,23,14,13,17,20,7,4,4,7,14,11,4,6,17,19,19,17,2,5,2,3,22,20,3,8,8,4,0,0,1,3,2,0,6,8,0,2,1,0,4,4,4,6,46,49,12,14,3,3,28,35,12,13,6,6,1,0,22,21,19,13,2,4,9,2,3,3,5,7,6,3,2,2,26,19,3,3,1,1,0,1,7,10,7,13,31,25,25,20,11,9,1,0,1,0,2,10,2,0,1,1,21,15,38,28,0,1,15,13,6,10,8,17,3,2,1,2,1,2,17,30,2,0
하이머딩거,74,90,108,17,17,1,0,8,9,3,1,1,3,10,15,1,0,0,0,5,9,5,5,0,0,1,5,3,2,1,4,2,3,1,0,1,0,5,7,5,4,1,4,0,0,0,0,0,0,2,0,6,2,1,0,2,2,2,2,0,1,10,13,1,1,4,4,0,0,7,7,3,5,0,0,3,3,4,10,9,17,1,0,4,10,-1,-1,0,1,8,11,0,0,0,0,1,0,4,6,1,5,5,4,4,7,20,13,3,5,8,5,4,3,0,2,2,5,0,1,2,0,3,3,3,1,5,6,0,0,1,1,5,0,8,9,6,4,1,2,0,0,2,1,7,4,4,3,0,0,0,0,6,8,0,0,5,10,0,0,1,0,1,0,0,0,0,0,9,9,0,0,6,10,1,1,0,0,2,3,0,1,3,1,5,1,0,2,3,1,7,8,4,3,3,0,3,6,1,2,2,4,4,4,2,5,6,5,2,4,0,3,6,8,1,2,6,10,3,7,3,3,2,2,11,6,4,0,0,4,0,0,1,0,0,0,3,5,0,1,0,0,2,3,0,0,5,15,3,7,0,1,14,11,4,2,0,5,1,0,6,8,1,4,0,0,2,3,5,2,1,2,0,0,0,2,4,7,2,0,0,2,0,1,4,8,5,2,4,7,5,11,4,3,1,1,0,1,1,4,0,0,1,0,5,4,4,3,0,0,4,5,1,3,3,4,0,0,0,1,0,0,5,2,0,0
일라오이,420,42,33,7,6,1,0,6,3,5,1,3,2,3,5,0,0,0,0,5,2,1,4,0,0,0,1,0,1,2,4,3,2,0,0,0,1,1,6,4,2,0,0,0,0,0,0,0,0,3,2,0,0,0,1,2,1,0,0,0,0,5,2,1,0,1,0,0,0,1,1,0,2,1,1,1,2,1,1,5,2,0,0,6,2,1,0,-1,-1,1,1,0,0,0,0,1,0,2,0,0,1,2,1,0,0,6,5,1,0,3,3,1,1,2,0,2,0,0,1,1,0,2,2,0,0,1,2,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,0,8,1,0,0,5,3,0,0,0,0,0,0,1,0,0,0,2,5,0,0,4,7,2,0,1,0,2,0,1,2,0,0,0,2,0,2,1,1,1,0,1,1,0,0,4,1,0,0,0,0,3,3,1,1,9,1,2,0,0,0,1,0,0,0,4,6,2,2,0,1,0,0,2,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2,0,6,3,1,1,0,0,0,1,0,3,3,2,1,0,1,2,4,2,1,0,1,0,0,0,0,0,1,0,0,0,2,3,1,1,1,1,0,0,1,0,1,3,3,3,0,4,0,3,0,1,0,0,0,1,0,0,0,0,3,0,3,2,0,1,1,0,0,0,2,2,0,0,0,0,0,0,4,2,1,0
이렐리아,39,325,308,75,81,1,3,30,23,14,8,17,13,25,19,2,4,0,1,15,24,18,13,1,0,13,8,13,12,13,7,9,15,2,3,3,2,35,20,15,15,7,7,1,1,0,2,7,0,17,7,11,5,1,4,9,7,4,11,1,1,29,31,5,4,11,18,1,3,19,14,17,10,1,1,11,10,17,13,48,44,2,2,21,16,11,8,1,1,-1,-1,1,2,2,1,4,3,13,21,5,7,13,8,9,8,62,55,14,22,10,12,5,14,0,2,4,11,1,0,7,6,13,16,0,4,22,21,4,4,0,3,13,14,33,39,17,15,11,5,7,3,7,6,21,13,10,5,1,1,0,1,23,22,4,6,25,17,3,1,3,2,6,4,4,1,1,0,32,31,1,2,25,18,8,6,1,4,7,6,8,8,2,5,5,7,7,4,7,3,15,22,15,13,5,3,11,21,0,2,6,8,12,19,13,8,27,15,7,5,2,5,9,14,4,4,23,17,9,16,3,2,3,0,28,23,7,7,7,8,1,0,4,5,0,2,6,7,1,0,0,0,5,9,2,2,34,43,23,14,1,2,15,24,9,6,4,6,4,2,13,25,15,18,3,2,1,3,6,6,2,2,3,4,2,1,17,22,4,4,1,1,1,2,15,8,7,10,17,18,21,19,11,8,1,2,4,2,8,7,7,3,2,1,19,6,31,17,0,2,17,12,6,6,12,7,3,4,2,1,3,1,19,21,3,1
